"","Date","KMB","XOM","ABX","GE","AMZN","AIG","Year","Month"
"1",2004-01-02,-0.811770674784384,-0.950755728912722,0.833698990785448,0.0321440051430422,-1.63002274450341,0.436090225563901,2004,1
"2",2004-01-05,0.0511508951406725,2.33817376322913,1.82767624020888,1.47814910025705,2.63969171483622,1.54214702799822,2004,1
"3",2004-01-06,-1.46557600545331,-0.673400673400681,-1.92307692307692,-0.664977834072189,-0.45053501032476,-0.235918608080221,2004,1
"4",2004-01-07,1.19335869941197,-0.726392251815977,-1.00217864923747,0.988205291679956,-2.13086931925326,1.22672184451669,2004,1
"5",2004-01-08,-0.632370534951288,-0.24390243902439,-0.440140845070414,1.79924242424243,-3.19845857418111,0.876040297853709,2004,1
"6",2004-01-09,0.429996560027512,-1.49144254278728,0.0884173297966306,-1.3953488372093,2.68710191082804,0.0578954986249824,2004,1
"7",2004-01-12,0.325398184620651,1.41474311243486,-1.28091872791519,0.911949685534608,2.63616980034891,1.9817734702734,2004,1
"8",2004-01-13,-2.08262205530898,-0.440528634361237,-1.43176733780761,-1.49579308195701,3.70160528800754,-1.43262411347518,2004,1
"9",2004-01-14,0.470711297071125,0,-3.49523377212891,1.23378677633661,1.62083409215079,0.172686717513315,2004,1
"10",2004-01-15,-0.572618427902138,-0.983284169124876,-3.29256820319851,0,0.6810035842294,-0.0861945122827223,2004,1
"11",2004-01-16,0.209424083769649,0.546176762661377,1.26459143968873,4.21875,-0.818796724813098,0.373831775700939,2004,1
"12",2004-01-20,-0.696621386276552,0.938271604938268,1.44092219020173,0.0299850074962471,1.59727207465901,-1.01704626844292,2004,1
"13",2004-01-21,-0.0350754121360985,1.34540117416828,-0.473484848484851,1.46882494004796,-0.72425366543013,1.34587554269174,2004,1
"14",2004-01-22,-0.929824561403514,-0.362056480811002,-2.85442435775451,-0.974889217134411,1.74377224199287,-0.599742967299721,2004,1
"15",2004-01-23,0.141668142376483,-0.58139534883721,-1.077375122429,-0.924821002386644,-0.122420426722636,-1.10616290762822,2004,1
"16",2004-01-26,3.44827586206897,1.24269005847952,-1.28712871287128,2.8003613369467,-0.140080546314125,1.14758861127251,2004,1
"17",2004-01-27,0.17094017094017,-0.866425992779785,2.5075225677031,0.146455770357345,-2.26196738558653,-1.69467183685192,2004,1
"18",2004-01-28,-1.02389078498294,-0.922554017965516,-3.47358121330724,-1.2576776835332,-6.78148546824543,-0.511322132943759,2004,1
"19",2004-01-29,1.72413793103448,1.61725067385443,-1.97668525088698,0.799763033175371,-5.2732871439569,1.71806167400881,2004,1
"20",2004-01-30,0.101694915254247,-1.63973957077406,1.86142709410548,-1.1754334410814,2.39739943112556,0.259852750108269,2004,1
"21",2004-02-02,0.270910938029112,-0.245158126991918,1.26903553299493,0,-4.22619047619047,2.05903527717781,2004,2
